Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),CO2,pH`,Alkalinity (mg L-1 ),Hardness (mg L-1 ),Calcium (mg L-1 ),Ammonia (mg L-1 ),Nitrite (mg L-1 ),Phosphorus (mg L-1 ),H2S (mg L-1 ),Plankton (No. L-1),Water Quality,fish
67.44872482,10.1271479,0.208152598,7.473606914,10.18108392,4.751657407,218.3648551,300.12508,337.178226,0.286053503,4.355310488,0.00598352,0.06679285,6069.624017,2,Snakehead
64.626666,94.01559521,11.43446267,10.85999818,14.86052057,3.085153682,273.9396917,8.426775721,363.6607403,0.096039616,2.1827527,0.00490609,0.02342796,250.9959594,2,Snakehead
65.12184179,90.65346229,12.43086468,12.80997011,12.31997993,9.648515123,220.8127301,11.72627422,309.3709345,0.974500937,4.901759619,0.006979234,0.065041088,7218.927473,2,Snakehead
1.640333731,0.066343956,10.9635289,8.508022716,12.95520912,4.819988393,266.5716276,6.627654777,8.180468071,0.884864944,3.571841821,3.17447342,0.026017804,1230.062252,2,Rainbow Trout
64.86343428,2.11917304,1.361735949,13.33537153,13.60319725,10.2440335,252.1079995,339.8915135,253.9968705,0.801695182,4.655898015,3.854700532,0.060995304,1035.05482,2,Snakehead
3.010154052,10.47246808,12.70411438,12.72515031,10.05855782,12.7131079,279.7517164,362.552291,274.7770588,0.671318023,3.466853002,0.006227519,0.07060589,7190.353885,2,Rainbow Trout
70.59909209,4.41147529,14.78591157,10.12289446,14.15136689,10.47409301,240.1967352,17.79172408,265.8347135,0.171307744,4.763686531,4.753323305,0.098494598,6690.86722,2,Snakehead
80.86069376,96.61070195,0.715907355,10.50208315,13.13713344,1.490192331,296.02565,16.10187929,289.4739598,0.470119543,2.963040924,0.001727829,0.030932835,416.0106922,2,Snakehead
81.2048433,11.51948888,2.210647298,7.464627136,14.98421631,0.047966668,244.9197936,7.332907137,263.2558482,0.052925402,2.509428127,3.222903295,0.064067132,7460.415789,2,Snakehead
1.098150753,10.59156013,8.636760293,14.71346757,10.27794309,0.00394431,269.6822128,322.3913934,280.7933046,0.652312619,4.639975781,0.009262323,0.034597836,923.1090494,2,Rainbow Trout
13.83315477,92.04123199,1.994206109,6.83272849,11.61131578,13.65265653,205.4867453,389.7744809,5.793605619,0.668194585,3.343256678,4.020149357,0.024380904,906.0446081,2,Rainbow Trout
12.25748487,9.293092876,1.805773298,14.24437269,14.92539931,5.113364891,250.8572159,19.06966583,399.3213982,0.211429388,4.554565796,0.003959236,0.082046381,7271.888161,2,Rainbow Trout
3.723096689,81.14551972,10.362915,6.990140997,13.89514495,4.244166442,263.4488676,374.3506156,316.2077555,0.926786858,2.454442761,4.550647627,0.07816108,81.15420923,2,Rainbow Trout
75.78924067,97.40295585,10.91009493,12.896432,13.60408244,13.34525246,229.7421499,354.3818262,260.1435813,0.199760897,2.177007821,0.003014122,0.07642813,987.2218331,2,Snakehead
60.66068053,87.80017332,0.550941129,10.4070263,13.68012576,4.805931599,249.6806726,18.97240585,3.115134388,0.604847713,3.030436355,3.11847792,0.040148264,6956.173883,2,Snakehead
10.87120196,4.126149297,1.613781947,14.54184531,10.53679565,1.865212166,286.2838712,16.33741436,293.5318457,0.697605507,3.041163302,0.004452089,0.060127236,7453.784495,2,Rainbow Trout
83.63112341,98.82639003,0.527349253,9.780969579,14.37671241,2.855633945,240.9487756,4.977754393,4.775878958,0.908869859,2.177383414,3.41740098,0.052653701,7218.78326,2,Snakehead
62.16093863,95.23312884,9.97874854,7.860399644,14.33802416,12.99453399,248.2184337,1.798302423,265.7006412,0.687828393,2.73176336,0.004474313,0.088465123,1268.882673,2,Snakehead
80.49865038,9.711625445,14.30042714,11.89451887,10.306656,0.066369919,279.8940797,398.7965501,3.071329291,0.581108995,4.841395267,3.825367973,0.078179103,7355.448948,2,Snakehead
3.804169115,86.06515397,2.667779574,13.35394755,13.87643436,5.534901367,205.1026948,320.586574,289.8465658,0.07405922,2.227657609,4.859812254,0.047860342,1331.652731,2,Rainbow Trout
74.82526782,82.16275827,1.250833179,13.56721409,10.50437863,12.48274385,251.4948016,8.269709372,5.629363338,0.77187546,3.721912116,3.037517726,0.06954092,6245.491015,2,Snakehead
3.759315786,1.344602149,8.426618773,8.481193111,13.85597602,2.191996533,261.880217,13.69701315,378.0012342,0.423654981,3.402878054,0.004993322,0.044198919,1323.847629,2,Rainbow Trout
78.97302781,1.646988856,0.944782248,6.368897866,13.90461758,11.67463608,262.6231854,14.07846187,0.11316779,0.476446771,2.175393008,0.006308835,0.071358424,733.5498028,2,Snakehead
